domain,url,domain_name,base_domain,trigrams,domain_ip,as_subnet,as_number,as_name,name_server,ns_base_domain,ns_ip,ns_as_subnet,ns_as_number,ns_as_name,label
supportteamverificationrequired9355.tk,https://supportteamverificationrequired9355.tk/wp-includes/js/tinymce/skins/lightgray/img/mtb/index.html?platform=hootsuite&_branch_match_id=684699004217093407,supportteamverificationrequired9355,supportteamverificationrequired9355.tk,"{'red', 'upp', 'amv', 'ppo', 'rif', 'ica', 'eri', 'nre', '355', 'tio', 'mve', 'por', 'ire', 'tte', 'ort', 'cat', 'fic', 'ed9', 'd93', 'req', 'onr', 'ifi', '935', 'ver', 'equ', 'rtt', 'ati', 'uir', 'sup', 'qui', 'tea', 'eam', 'ion'}",195.20.42.122,195.20.40.0/21,31624,"VFMNL-AS Amsterdam Location BGP Setup, NL",,,,,,,1
getsym.com,https://getsym.com/et-37dhD03mHG73872-489YDbank0famericaJHD.DNghd37898-4787.jhdg372-78fjHg73627.dhHJ/surf4.php,getsym,getsym.com,"{'tsy', 'get', 'ets', 'sym'}",69.41.190.114,69.41.160.0/19,40824,"WZCOM-US - WZ Communications Inc., US",ns1.lowesthosting.com,lowesthosting.com,172.86.179.75,172.86.176.0/21,19969,"JOESDATACENTER - Joe's Datacenter, LLC, US",1
www.alycarroll.com,http://www.alycarroll.com/ubs-configserverlogin/log/,alycarroll,alycarroll.com,"{'rro', 'aly', 'oll', 'lyc', 'arr', 'car', 'rol', 'yca'}",212.124.117.38,212.124.112.0/21,47328,"TRI-AS True Records Inc., ES",ns72.domaincontrol.com,domaincontrol.com,173.201.73.46,173.201.72.0/23,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",1
private.account-disable.icloud.skipappap.com,http://private.account-disable.icloud.skipappap.com/,skipappap,skipappap.com,"{'ipa', 'pap', 'app', 'ppa', 'kip', 'ski'}",206.81.28.91,206.81.16.0/20,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",ns-cloud-b1.googledomains.com,googledomains.com,216.239.32.107,216.239.32.0/24,15169,"GOOGLE - Google LLC, US",1
www.accountsetting43.servehttp.com,http://www.accountsetting43.servehttp.com/IDMSWebAuth/,servehttp,servehttp.com,"{'ser', 'veh', 'eht', 'htt', 'rve', 'ttp', 'erv'}",,,,,nf1.no-ip.com,no-ip.com,194.62.182.53,194.62.182.0/24,29997,"VITAL-DNS - Vitalwerks Internet Solutions, LLC, US",1
functionaiproteins.com,https://functionaiproteins.com/invoiceout/78d8838f0d870f0185f6279fc090f33c.html?5ea3b1ab562374b132acc2787a0a103febe2fb4ea5c349b77e041d45e821c94ddf746517293a746947343dd991872ae3a67b120cf01283cf144c37fc25560f1f,functionaiproteins,functionaiproteins.com,"{'tio', 'ins', 'nai', 'aip', 'unc', 'ipr', 'ein', 'ion', 'nct', 'ona', 'ote', 'tei', 'fun', 'rot', 'cti', 'pro'}",199.192.31.95,199.192.31.0/24,22612,"NAMECHEAP-NET - Namecheap, Inc., US",ns1.freedomgroup.website,freedomgroup.website,199.192.31.95,199.192.31.0/24,22612,"NAMECHEAP-NET - Namecheap, Inc., US",1
hydromb.com,http://hydromb.com/desj/ondetverifier.php,hydromb,hydromb.com,"{'omb', 'rom', 'hyd', 'dro', 'ydr'}",198.71.233.179,198.71.232.0/21,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",ns53.domaincontrol.com,domaincontrol.com,97.74.106.27,97.74.106.0/23,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",1
ebay-signin.com,https://ebay-signin.com/signin/0e45054066a50d9b55023f465ef7464dYTU5MGFkN2MwNWQ3ZmFlNzdlZGUxNWM2M2NmYzA3Nzg=/signin/,ebay-signin,ebay-signin.com,"{'ay-', '-si', 'ign', 'nin', 'eba', 'bay', 'sig', 'gni', 'y-s'}",192.249.121.28,192.249.120.0/23,22611,"IMH-WEST - InMotion Hosting, Inc., US",ns2.inmotionhosting.com,inmotionhosting.com,70.39.150.2,70.39.144.0/21,54641,"INMOTI-1 - InMotion Hosting, Inc., US",1
www.xxeroticvideos.com,http://www.xxeroticvideos.com/imagr/trop/ACCOUNTIDDDDAAASSsssxxxxxxxxxxxc0a29722759faa55629bb259918a58af/1f98f11a698c38b0dd59eb22de319290/Up-dating.php?country.x=-&ACCT.x=ID-PPL=PA324188.166.98.249=ScrPg=bff8233e9041cf498c3ceb133d19c0e597ea061732a47c364502b4197aedddb9S=$1$hiG61eO9$K3d7y1hZpP7NV2/us63W703egpksTjzd4bK0VJx6P15tumAFYarOwRl82MHohG7nIvBWNQLcqUy9iZXDESfCBKR15NdLioX2rMnel7IyaGAqg0svzJhTFDbVYu346Cp8WHfkxtwZjO9cSUQEPm1814156496,xxeroticvideos,xxeroticvideos.com,"{'tic', 'ero', 'cvi', 'xer', 'deo', 'oti', 'ide', 'xxe', 'eos', 'vid', 'rot', 'icv'}",205.196.16.110,205.196.16.0/21,46562,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US",dns2.icertified.net,icertified.net,204.15.248.150,204.15.248.0/21,46562,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US",1
loudpixels.net,https://loudpixels.net/bjm/bankofamerica.com.login/update.html,loudpixels,loudpixels.net,"{'pix', 'oud', 'dpi', 'els', 'ixe', 'xel', 'lou', 'udp'}",69.89.31.121,69.89.16.0/20,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",ns2.bluehost.com,bluehost.com,162.159.25.175,162.159.25.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
