domain,url,domain_name,base_domain,trigrams,domain_ip,as_subnet,as_number,as_name,name_server,ns_base_domain,ns_ip,ns_as_subnet,ns_as_number,ns_as_name,label
jhonnyarte.com.br,https://jhonnyarte.com.br/chat/ezcomponents/Authentication/bonus/smiles/pessoa/fisica.e.juridica/webApps_AplicationSelect.php,jhonnyarte,jhonnyarte.com.br,"{'onn', 'art', 'jho', 'rte', 'nya', 'nny', 'hon', 'yar'}",216.172.172.53,216.172.160.0/20,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",ns454.hostgator.com.br,hostgator.com.br,216.172.172.50,216.172.160.0/20,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",1
arecures.000webhostapp.com,https://arecures.000webhostapp.com/app.htm,000webhostapp,000webhostapp.com,"{'web', 'ost', 'sta', 'app', 'bho', 'hos', '000', '0we', 'ebh', 'tap', '00w'}",145.14.144.40,145.14.144.0/23,204915,"AWEX, US",dns1.000webhost.com,000webhost.com,153.92.2.10,153.92.2.0/24,47583,"AS-HOSTINGER, LT",1
www.crecheplanetabebe.com.br,https://www.crecheplanetabebe.com.br/Perfil-Cliente/index1.php,crecheplanetabebe,crecheplanetabebe.com.br,"{'eta', 'ech', 'tab', 'lan', 'che', 'cre', 'beb', 'rec', 'pla', 'epl', 'ane', 'net', 'ebe', 'abe', 'hep'}",108.167.188.139,108.167.188.0/22,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",ns391.hostgator.com.br,hostgator.com.br,108.167.188.136,108.167.188.0/22,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",1
services.runescape.com-ios.ru,"https://services.runescape.com-ios.ru/m=weblogin/loginform298,741,819,74232463,2222",com-ios,com-ios.ru,"{'-io', 'm-i', 'ios', 'com', 'om-'}",93.158.239.29,93.158.239.0/24,60503,"FNXTEC, NL",fns2.42.pl,42.pl,193.70.13.218,193.70.0.0/17,16276,"OVH, FR",1
primeseexclusives.gotdns.ch,http://primeseexclusives.gotdns.ch/Bradesco-Atualizacao-itoken/5539dd352b1077e/html/index.php,gotdns,gotdns.ch,"{'tdn', 'dns', 'got', 'otd'}",,,,,nf1.no-ip.com,no-ip.com,194.62.182.53,194.62.182.0/24,29997,"VITAL-DNS - Vitalwerks Internet Solutions, LLC, US",1
66.8.198.35.bc.googleusercontent.com,http://66.8.198.35.bc.googleusercontent.com/oft/Promocao7494312/identificacao.php?id=1&amp;titulo=Smart-TV-LED-43-Samsung-Series-5-J5290-Full-HD---Wi-Fi-Conversor-Digital-2-HDMI-1-USB&amp;dist=desktop,googleusercontent,googleusercontent.com,"{'ser', 'ent', 'leu', 'erc', 'use', 'ogl', 'eus', 'ont', 'rco', 'ten', 'goo', 'con', 'nte', 'gle', 'oog'}",35.198.8.66,35.198.0.0/16,15169,"GOOGLE - Google LLC, US",ns1.google.com,google.com,216.239.32.10,216.239.32.0/24,15169,"GOOGLE - Google LLC, US",1
private.account-disable.icloud.skipappap.com,https://private.account-disable.icloud.skipappap.com/?securecloud,skipappap,skipappap.com,"{'ipa', 'pap', 'app', 'ppa', 'kip', 'ski'}",206.81.28.91,206.81.16.0/20,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",ns-cloud-b1.googledomains.com,googledomains.com,216.239.32.107,216.239.32.0/24,15169,"GOOGLE - Google LLC, US",1
invoiceceos.azurewebsites.net,https://invoiceceos.azurewebsites.net/index.html,azurewebsites,azurewebsites.net,"{'ebs', 'azu', 'ite', 'web', 'bsi', 'sit', 'zur', 'tes', 'ure', 'rew', 'ewe'}",13.89.172.3,13.64.0.0/11,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",ns1-224.azure-dns.com,azure-dns.com,40.90.4.224,40.90.4.0/24,8068,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",1
laugarvatn.top,http://laugarvatn.top/sacraa-mentoo/NewComcast/login/,laugarvatn,laugarvatn.top,"{'rva', 'uga', 'lau', 'atn', 'aug', 'vat', 'arv', 'gar'}",104.27.139.166,104.27.128.0/20,13335,"CLOUDFLARENET - Cloudflare, Inc., US",anna.ns.cloudflare.com,cloudflare.com,173.245.58.102,173.245.58.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
lorai29.duckdns.org,https://lorai29.duckdns.org/docs/,duckdns,duckdns.org,"{'kdn', 'uck', 'duc', 'dns', 'ckd'}",167.71.140.226,167.71.128.0/20,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",ns2.duckdns.org,duckdns.org,54.191.117.119,54.191.0.0/16,16509,"AMAZON-02 - Amazon.com, Inc., US",1
drowthast.com,https://drowthast.com/jonas/enterpassword.php?09C51415644953594246110afcef900e39fc87a4164ac2f24246110afcef900e39fc87a4164ac2f24246110afcef900e39fc87a4164ac2f24246110afcef900e39fc87a4164ac2f24246110afcef900e39fc87a4164ac2f2&amp;AP___=lfong@fs.fed.us&amp;error=,drowthast,drowthast.com,"{'tha', 'row', 'wth', 'ast', 'dro', 'has', 'owt'}",148.72.99.164,148.72.96.0/21,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",ns54.domaincontrol.com,domaincontrol.com,173.201.74.27,173.201.74.0/23,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",1
