domain,url,domain_name,base_domain,trigrams,domain_ip,as_subnet,as_number,as_name,name_server,ns_base_domain,ns_ip,ns_as_subnet,ns_as_number,ns_as_name,label
www.joenjo-tours.com,http://www.joenjo-tours.com/wp/wp-content/plugins/bbtmpsf/GoDaddy/Godaddy-signing/,joenjo-tours,joenjo-tours.com,"{'enj', 'o-t', 'urs', 'tou', '-to', 'oen', 'jo-', 'joe', 'our', 'njo'}",54.36.94.165,54.36.0.0/16,16276,"OVH, FR",ns02.cloudhost.id,cloudhost.id,103.15.226.15,103.15.226.0/24,136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",1
grilycomfy.ga,https://grilycomfy.ga/365new/281bf6604711b8e7fa2c546d1dea3b6b/hashincl.php?wa=wsignin1.0&rpsnv=13&ct=1504448382&rver=6.7.6643.0&wp=MBI_SSL_SHARED&wreply=https:%2F%2Fmail.live.com%2Fdefault.aspx%3Frru%3Dinbox&lc=1033&id=64855&mkt=en-us&cbcxt=mai,grilycomfy,grilycomfy.ga,"{'ily', 'gri', 'ril', 'yco', 'omf', 'com', 'mfy', 'lyc'}",,,,,,,,,,,1
7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de,https://7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de/578489a32aac948b68accc49903c4c85NzY5NTExNDZhZDA5NjVmODE2MjNkNmJmZjA0YTFhOTQ=/signin/,udagwebspace,udagwebspace.de,"{'pac', 'ebs', 'gwe', 'agw', 'spa', 'uda', 'dag', 'bsp', 'ace', 'web'}",217.160.0.200,217.160.0.0/16,8560,"ONEANDONE-AS Brauerstrasse 48, DE",ns.udag.de,udag.de,185.61.8.10,185.61.8.0/24,202108,"UDAG, DE",1
www.muhtomas.co.id,http://www.muhtomas.co.id/manageaccount.doneffmail2f3.intldfr.langdfr/2cad13410706257052ada3036cf96146,muhtomas,muhtomas.co.id,"{'uht', 'mas', 'muh', 'tom', 'oma', 'hto'}",180.240.134.103,180.240.134.0/24,56308,"TELIN-NET-SG TELEKOMUNIKASI INDONESIA INTERNATIONAL, PTE.LTD, SG",dns1.masterweb.com,masterweb.com,202.78.200.59,202.78.200.0/23,18059,"DTPNET-AS-AP DTPNET NAP, ID",1
mypaypalsertifere.serveirc.com,http://mypaypalsertifere.serveirc.com/customer_center/customer-IDPP00C899/myaccount/signin/,serveirc,serveirc.com,"{'irc', 'ser', 'eir', 'erv', 'vei', 'rve'}",74.63.239.210,74.63.192.0/18,46475,"LIMESTONENETWORKS - Limestone Networks, Inc., US",nf2.no-ip.com,no-ip.com,45.54.64.53,45.54.64.0/24,29997,"VITAL-DNS - Vitalwerks Internet Solutions, LLC, US",1
liai.ai,https://liai.ai/wp-content/plugins/mesmerize-companion/src/Assets/PPL/signin/,liai,liai.ai,"{'iai', 'lia'}",34.238.146.194,34.224.0.0/12,14618,"AMAZON-AES - Amazon.com, Inc., US",dns2.registrar-servers.com,registrar-servers.com,216.87.152.33,216.87.152.0/24,396560,"VRSN-AC50-340 - VeriSign Global Registry Services, US",1
www.4v210.com,https://www.4v210.com/wp-includes/css/b0a/Login/,4v210,4v210.com,"{'4v2', 'v21', '210'}",27.254.86.20,27.254.84.0/22,9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",cs58.hostneverdie.com,hostneverdie.com,27.254.87.174,27.254.84.0/22,9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",1
www.weeklyketo.com,http://www.weeklyketo.com/as/sgnin.php?/Account/Home/&ref=action_REQ&ie=UTF8&accessID=nitZtHiwsNQdioBDco,weeklyketo,weeklyketo.com,"{'lyk', 'kly', 'ket', 'ekl', 'eto', 'wee', 'yke', 'eek'}",51.68.220.18,51.68.0.0/16,16276,"OVH, FR",ns28.domaincontrol.com,domaincontrol.com,173.201.71.14,173.201.70.0/23,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",1
www.destinationfictive.com,http://www.destinationfictive.com/gfp/%3f4e2ef829cb10b98027a164529025babe/,destinationfictive,destinationfictive.com,"{'nfi', 'ina', 'est', 'tiv', 'des', 'onf', 'ati', 'tio', 'cti', 'fic', 'ive', 'ict', 'tin', 'nat', 'sti', 'ion'}",62.210.16.61,62.210.0.0/16,12876,"AS12876, FR",ns1.online.net,online.net,62.210.16.9,62.210.0.0/16,12876,"AS12876, FR",1
naatsharif.cu.ma,http://naatsharif.cu.ma/~gntcncum/D/H/L/EX-Press/document-/=46d37d3ffe90b3e56482e0726a2ff729cad88d5916aeb3e4a2a1d3c8889afd000dffdd18fe1509450bde3c1eebdef4be/tracking2.php,cu,cu.ma,set(),206.72.206.122,206.72.192.0/20,19318,"IS-AS-1 - Interserver, Inc, US",,,,,,,1
